"Package","Version","CVE ID","Severity","Status","Detail"
"busybox","1.36.1","CVE-2022-48174","CRITICAL","exploitable","N/A"
"host-uboot-tools","2021.07","CVE-2022-30767","CRITICAL","exploitable","N/A"
"uboot","2020.07","CVE-2022-30767","CRITICAL","exploitable","N/A"
"host-uboot-tools","2021.07","CVE-2022-34835","CRITICAL","exploitable","N/A"
"uboot","2020.07","CVE-2022-34835","CRITICAL","exploitable","N/A"
"expat","2.6.1","CVE-2024-45491","CRITICAL","exploitable","N/A"
"host-expat","2.6.1","CVE-2024-45491","CRITICAL","exploitable","N/A"
"expat","2.6.1","CVE-2024-45492","CRITICAL","exploitable","N/A"
"host-expat","2.6.1","CVE-2024-45492","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2025-39933","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-64066","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-64068","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-64067","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-64160","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-53010","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-31608","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-31609","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-31536","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-43465","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-43414","CRITICAL","exploitable","N/A"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","CVE-2026-5450","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-46325","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-64216","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-53260","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-53224","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-53246","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-43197","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-43198","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-43185","CRITICAL","exploitable","N/A"
"linux","6.12.104","CVE-2026-43083","CRITICAL","exploitable","N/A"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","CVE-2023-4911","HIGH","in_triage","The CVE 'CVE-2023-4911' has been marked as ignored by Buildroot"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","CVE-2023-5156","HIGH","in_triage","The CVE 'CVE-2023-5156' has been marked as ignored by Buildroot"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","CVE-2023-6246","HIGH","in_triage","The CVE 'CVE-2023-6246' has been marked as ignored by Buildroot"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","CVE-2023-6779","HIGH","in_triage","The CVE 'CVE-2023-6779' has been marked as ignored by Buildroot"
"host-python3-pip","21.3","CVE-2018-20225","HIGH","exploitable","N/A"
"linux","6.12.104","CVE-2020-25672","HIGH","exploitable","N/A"
"linux","6.12.104","CVE-2020-27815","HIGH","exploitable","N/A"
"uboot","2020.07","CVE-2021-27138","HIGH","exploitable","N/A"
"linux","6.12.104","CVE-2021-20194","HIGH","exploitable","N/A"
"uboot","2020.07","CVE-2021-27097","HIGH","exploitable","N/A"
"host-uboot-tools","2021.07","CVE-2022-2347","HIGH","exploitable","N/A"
"uboot","2020.07","CVE-2022-2347","HIGH","exploitable","N/A"
"host-uboot-tools","2021.07","CVE-2022-33103","HIGH","exploitable","N/A"
"host-libconfuse","3.3","CVE-2022-40320","HIGH","exploitable","N/A"
"host-python3","3.11.8","CVE-2024-7592","HIGH","exploitable","N/A"
"expat","2.6.1","CVE-2024-28757","HIGH","exploitable","N/A"
"host-expat","2.6.1","CVE-2024-28757","HIGH","exploitable","N/A"
"linux","6.12.104","CVE-2024-52560","HIGH","exploitable","N/A"
"expat","2.6.1","CVE-2024-45490","HIGH","exploitable","N/A"
"host-expat","2.6.1","CVE-2024-45490","HIGH","exploitable","N/A"
"glibc","2.38-44-gd37c2b20a4787463d192b32041c3406c2bd91de0","CVE-2024-33599","HIGH","exploitable","N/A"
"linux","6.12.104","CVE-2024-57995","HIGH","exploitable","N/A"
"host-uboot-tools","2021.07","CVE-2024-57254","HIGH","exploitable","N/A"
"uboot","2020.07","CVE-2024-57254","HIGH","exploitable","N/A"
"host-uboot-tools","2021.07","CVE-2024-57259","HIGH","exploitable","N/A"
"uboot","2020.07","CVE-2024-57259","HIGH","exploitable","N/A"
